Mood,Link,Type
0,https://youtu.be/dQw4w9WgXcQ,4
3,https://youtu.be/dQw4w9WgXcQ,4
5,https://youtu.be/dQw4w9WgXcQ,4
2,https://youtu.be/YaEG2aWJnZ8,4
4,https://youtu.be/YaEG2aWJnZ8,4
5,https://youtu.be/YaEG2aWJnZ8,4
0,https://youtu.be/ijfLsKg8jFY,2
3,https://youtu.be/ijfLsKg8jFY,2
0,https://youtu.be/CDnEKUDNwMM,2
0,https://youtu.be/sJ2U1cOvqQM,2
3,https://youtu.be/sJ2U1cOvqQM,2
5,https://youtu.be/sJ2U1cOvqQM,2
2,https://youtu.be/fG1oNm2tCro,3
1,https://youtu.be/fG1oNm2tCro,3
3,https://youtu.be/fG1oNm2tCro,3
4,https://youtu.be/fG1oNm2tCro,3
0,https://youtu.be/qkxuFKqJXWY,1
3,https://youtu.be/qkxuFKqJXWY,1
5,https://youtu.be/qkxuFKqJXWY,1
0,https://youtu.be/LI6bwEM-spI,1
3,https://youtu.be/LI6bwEM-spI,1
5,https://youtu.be/LI6bwEM-spI,1
4,https://youtu.be/LI6bwEM-spI,1
3,https://youtu.be/e8nrpyUFY7Y,0
3,https://youtu.be/dfnCAmr569k,4
5,https://youtu.be/dfnCAmr569k,4
2,https://youtu.be/xLYiIBCN9ec,4
4,https://youtu.be/xLYiIBCN9ec,4
1,https://youtu.be/xLYiIBCN9ec,4
0,https://youtu.be/xLYiIBCN9ec,4
2,https://youtu.be/n9_gWiwAWrA,4
0,https://youtu.be/n9_gWiwAWrA,4
1,https://youtu.be/n9_gWiwAWrA,4
0,https://youtu.be/JEoxUG898qY,2
4,https://youtu.be/vit9ZYPl-cs,4
4,https://youtu.be/ZSNnoMDOgFc,4
2,https://youtu.be/vit9ZYPl-cs,4
0,https://youtu.be/vit9ZYPl-cs,4
1,https://youtu.be/vit9ZYPl-cs,4
1,https://youtu.be/REAwGmv0Fuk,4
3,https://youtu.be/REAwGmv0Fuk,4
4,https://youtu.be/REAwGmv0Fuk,4
4,https://youtu.be/jFl0A8lxRnU,4
0,https://youtu.be/jFl0A8lxRnU,4
2,https://youtu.be/jFl0A8lxRnU,4
3,https://youtu.be/jFl0A8lxRnU,4
0,https://youtu.be/dQw4w9WgXcQ,4
0,https://youtu.be/sCvV5etm08k,2
1,https://youtu.be/8zqozcPI6WI,3
1,https://youtu.be/sCvV5etm08k,2
4,https://youtu.be/sCvV5etm08k,2
4,https://music.youtube.com/watch?v=mzNWUL7s1_0&feature=share,4
0,https://youtu.be/rtTI1rh9U5M,4
4,https://youtu.be/I63RkFdgjos,4
4,https://youtu.be/5afErrqrs6w,1
3,https://music.youtube.com/watch?v=022vasrl_JU&feature=share,1
0,https://youtu.be/FCxmY-390xM,2
4,https://music.youtube.com/watch?v=gnrSX7TQJqU&feature=share,2
2,https://youtu.be/ZYF8MYMXOQA,3
0,https://youtu.be/zIqqQ51hHRQ,1
3,https://youtu.be/cMHXFKAN6Dk,4
0,https://youtu.be/sTVgH-R_Q5o,1
3,https://youtu.be/OgP9eqCqLs4,1
2,https://youtu.be/r6SbfF9FjTg,3
0,https://www.youtube.com/watch?v=dQw4w9WgXcQ,4
1,https://images.app.goo.gl/5kYBRjFo4DJMmRGb7,1
4,https://images.app.goo.gl/F3oYCxoHofe84AoA7,1
2,https://images.app.goo.gl/SgrNNUmBL84RP4AK9,1
4,https://www.youtube.com/watch?v=VuNIsY6JdUw,4
0,https://youtu.be/eA0nbtxfeq4,4
2,https://g.co/kgs/uy6j2G,0
2,https://images.app.goo.gl/ctzG2KWjzyNs7ptW9,1
5,https://images.app.goo.gl/gSFEBVmFXnbn4DhS7,1
2,https://images.app.goo.gl/tbWoqUZkV188jbZu7,3
1,https://images.app.goo.gl/QvrKhdnevzS88UVK6,3
0,https://images.app.goo.gl/dscnN1ajuFaW9yKj7,3
0,https://images.app.goo.gl/LGD2PTxQ2ny82GW16,3
0,https://images.app.goo.gl/TVY6oNpe5araXv8F7,3
0,https://images.app.goo.gl/2BHjbhFz2fbXYAUg7,3
2,https://images.app.goo.gl/PKeK5hjE5bWPXL3N6,3
0,https://images.app.goo.gl/DyHCpXzkgZyuXPYt7,1
1,https://images.app.goo.gl/A8wbiYmSJboWQB1H9,1
1,https://images.app.goo.gl/WuLd6pki5CgpcB7D9,3
2,https://www.instagram.com/reel/Cj3G-O1qDiA/?igshid=NTdlMDg3MTY=,1
4,https://youtu.be/1aSXZjqa3do,3
0,https://youtu.be/FCxmY-390xM,2
0,https://youtu.be/Wbt59pmT26E,4
1,https://youtu.be/Wbt59pmT26E,4
2,https://youtu.be/Wbt59pmT26E,4
2,https://youtu.be/Wbt59pmT26E,4
4,https://youtu.be/Wbt59pmT26E,4
3,https://youtu.be/Wbt59pmT26E,4
3,Geh,3
0,Heh,4
0,Hdh,3
2,Gsbs,1
4,https://youtu.be/FuXNumBwDOM,4
5,https://youtu.be/FuXNumBwDOM,4
3,https://youtu.be/FuXNumBwDOM,4
3,https://youtu.be/b7QlX3yR2xs,4
5,https://youtu.be/b7QlX3yR2xs,4
3,https://youtu.be/jYa1eI1hpDE,4
4,https://youtu.be/jYa1eI1hpDE,4
5,https://youtu.be/jYa1eI1hpDE,4
4,https://youtu.be/XPBwXKgDTdE,4
4,https://youtu.be/3P0ugESOgO0,4
3,https://youtu.be/XPBwXKgDTdE,4
3,https://youtu.be/3P0ugESOgO0,4
2,https://youtu.be/3P0ugESOgO0,4
1,https://youtu.be/3P0ugESOgO0,4
3,https://youtu.be/YtWjvDB2dCY,0
5,https://youtu.be/YtWjvDB2dCY,0
0,https://youtu.be/3P0ugESOgO0,4
4,https://youtu.be/5mFTXbZzOAE,4
4,https://open.spotify.com/track/199E1RRrVmVTQqBXih5qRC?si=tD74VXFTRaCPAbn11DN4IQ&utm_source=whatsapp,4
3,https://youtu.be/5mFTXbZzOAE,4
2,https://youtu.be/5mFTXbZzOAE,4
1,https://youtu.be/5mFTXbZzOAE,4
4,https://youtu.be/xCatIOFua2E,4
3,https://youtu.be/xCatIOFua2E,4
0,https://youtu.be/xCatIOFua2E,4
4,https://smashkarts.io/,0
3,https://smashkarts.io/,0
